INSERT INTO `hnk` (`ID`,`helyseg`, `jogallas`, `megye`, `jaras`, `terulet`, `nepesseg`, `lakas`) VALUES
('856', 'Galvács', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '1504', '88', '75'),
('857', 'Gamás', 'község', 'Somogy', 'Fonyódi', '4292', '683', '370'),
('858', 'Ganna', 'község', 'Veszprém', 'Pápai', '1547', '213', '123'),
('859', 'Gánt', 'község', 'Fejér', 'Bicskei', '5815', '828', '271'),
('860', 'Gara', 'község', 'Bács-Kiskun', 'Bajai', '5996', '2196', '923'),
('861', 'Garáb', 'község', 'Nógrád', 'Pásztói', '820', '60', '60'),
('862', 'Garabonc', 'község', 'Zala', 'Nagykanizsai', '1856', '635', '266'),
('863', 'Garadna', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '975', '341', '184'),
('864', 'Garbolc', 'község', 'Szabolcs-Szatmár-Bereg', 'Fehérgyarmati', '723', '114', '66'),
('865', 'Gárdony', 'város', 'Fejér', 'Gárdonyi', '6353', '13164', '4769'),
('866', 'Garé', 'község', 'Baranya', 'Siklósi', '853', '262', '111'),
('867', 'Gasztony', 'község', 'Vas', 'Szentgotthárdi', '1427', '431', '213'),
('868', 'Gátér', 'község', 'Bács-Kiskun', 'Kiskunfélegyházi', '3089', '855', '465'),
('869', 'Gávavencsellõ', 'nagyközség', 'Szabolcs-Szatmár-Bereg', 'Ibrányi', '6683', '3297', '1558'),
('870', 'Géberjén', 'község', 'Szabolcs-Szatmár-Bereg', 'Mátészalkai', '538', '401', '204'),
('871', 'Gecse', 'község', 'Veszprém', 'Pápai', '934', '391', '186'),
('872', 'Géderlak', 'község', 'Bács-Kiskun', 'Kalocsai', '1894', '938', '467'),
('873', 'Gégény', 'község', 'Szabolcs-Szatmár-Bereg', 'Kemecsei', '2344', '1856', '723'),
('874', 'Gelej', 'község', 'Borsod-Abaúj-Zemplén', 'Mezõcsáti', '3212', '578', '270'),
('875', 'Gelénes', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '2055', '590', '238'),
('876', 'Gellénháza', 'község', 'Zala', 'Zalaegerszegi', '523', '1573', '645'),
('877', 'Gelse', 'község', 'Zala', 'Nagykanizsai', '2246', '1057', '449'),
('878', 'Gelsesziget', 'község', 'Zala', 'Nagykanizsai', '498', '264', '106'),
('879', 'Gemzse', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '1359', '803', '283'),
('880', 'Gencsapáti', 'község', 'Vas', 'Szombathelyi', '2239', '2724', '973'),
('881', 'Gérce', 'község', 'Vas', 'Sárvári', '1830', '1193', '504'),
('882', 'Gerde', 'község', 'Baranya', 'Szentlõrinci', '1276', '477', '194'),
('883', 'Gerendás', 'község', 'Békés', 'Békéscsabai', '4078', '1112', '682'),
('884', 'Gerényes', 'község', 'Baranya', 'Hegyháti', '1234', '225', '98'),
('885', 'Geresdlak', 'község', 'Baranya', 'Pécsváradi', '2528', '732', '402'),
('886', 'Gerjen', 'község', 'Tolna', 'Paksi', '3628', '1158', '519'),
('887', 'Gersekarát', 'község', 'Vas', 'Vasvári', '1992', '647', '332'),
('888', 'Geszt', 'község', 'Békés', 'Sarkadi', '5139', '680', '338'),
('889', 'Gesztely', 'község', 'Borsod-Abaúj-Zemplén', 'Miskolci', '2882', '2533', '950'),
('890', 'Geszteréd', 'község', 'Szabolcs-Szatmár-Bereg', 'Nagykállói', '3352', '1600', '745'),
('891', 'Gétye', 'község', 'Zala', 'Keszthelyi', '666', '93', '95'),
('892', 'Gibárt', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '533', '354', '157'),
('893', 'Gic', 'község', 'Veszprém', 'Pápai', '1968', '327', '146'),
('894', 'Gige', 'község', 'Somogy', 'Kaposvári', '1319', '362', '132'),
('895', 'Gilvánfa', 'község', 'Baranya', 'Sellyei', '1543', '316', '118'),
('896', 'Girincs', 'község', 'Borsod-Abaúj-Zemplén', 'Tiszaújvárosi', '1120', '869', '288'),
('897', 'Gógánfa', 'község', 'Veszprém', 'Sümegi', '1317', '832', '315'),
('898', 'Golop', 'község', 'Borsod-Abaúj-Zemplén', 'Szerencsi', '943', '549', '288'),
('899', 'Gomba', 'község', 'Pest', 'Monori', '3971', '3193', '1100'),
('900', 'Gombosszeg', 'község', 'Zala', 'Zalaegerszegi', '216', '58', '35'),
('901', 'Gór', 'község', 'Vas', 'Sárvári', '1099', '331', '182'),
('902', 'Gordisa', 'község', 'Baranya', 'Siklósi', '1088', '272', '96'),
('903', 'Gosztola', 'község', 'Zala', 'Lenti', '698', '51', '43'),
('904', 'Göd', 'város', 'Pest', 'Dunakeszi', '2444', '21265', '7683'),
('905', 'Gödöllõ', 'város', 'Pest', 'Gödöllõi', '6193', '31494', '13111'),
('906', 'Gödre', 'község', 'Baranya', 'Hegyháti', '3993', '742', '396'),
('907', 'Gölle', 'község', 'Somogy', 'Kaposvári', '4469', '781', '432'),
('908', 'Gömörszõlõs', 'község', 'Borsod-Abaúj-Zemplén', 'Putnoki', '877', '81', '46'),
('909', 'Gönc', 'város', 'Borsod-Abaúj-Zemplén', 'Gönci', '3727', '1911', '904'),
('910', 'Göncruszka', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '1670', '718', '312'),
('911', 'Gönyû', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '2163', '3258', '1196'),
('912', 'Görbeháza', 'község', 'Hajdú-Bihar', 'Hajdúnánási', '8021', '2321', '1032'),
('913', 'Görcsöny', 'község', 'Baranya', 'Pécsi', '1852', '1540', '529'),
('914', 'Görcsönydoboka', 'község', 'Baranya', 'Mohácsi', '951', '329', '178'),
('915', 'Görgeteg', 'község', 'Somogy', 'Nagyatádi', '3350', '1050', '435'),
('916', 'Gõsfa', 'község', 'Zala', 'Zalaegerszegi', '1045', '309', '132'),
('917', 'Grábóc', 'község', 'Tolna', 'Bonyhádi', '1373', '152', '83'),
('918', 'Gulács', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '2335', '955', '366'),
('919', 'Gutorfölde', 'község', 'Zala', 'Zalaegerszegi', '2485', '880', '475'),
('920', 'Gyál', 'város', 'Pest', 'Gyáli', '2493', '24370', '8384'),
('921', 'Gyalóka', 'község', 'Gyõr-Moson-Sopron', 'Soproni', '393', '77', '50'),
('922', 'Gyanógeregye', 'község', 'Vas', 'Szombathelyi', '707', '143', '64'),
('923', 'Gyarmat', 'község', 'Gyõr-Moson-Sopron', 'Téti', '2245', '1387', '579'),
('924', 'Gyékényes', 'község', 'Somogy', 'Csurgói', '3376', '1020', '465'),
('925', 'Gyenesdiás', 'nagyközség', 'Zala', 'Keszthelyi', '1850', '3843', '1899'),
('926', 'Gyepükaján', 'község', 'Veszprém', 'Sümegi', '911', '351', '158'),
('927', 'Gyermely', 'község', 'Komárom-Esztergom', 'Tatabányai', '4546', '1550', '559'),
('928', 'Gyód', 'község', 'Baranya', 'Pécsi', '325', '750', '253'),
('929', 'Gyomaendrõd', 'város', 'Békés', 'Gyomaendrõdi', '30394', '12577', '6412'),
('930', 'Gyóró', 'község', 'Gyõr-Moson-Sopron', 'Kapuvári', '1164', '384', '168'),
('931', 'Gyömöre', 'község', 'Gyõr-Moson-Sopron', 'Téti', '2049', '1227', '516'),
('932', 'Gyömrõ', 'város', 'Pest', 'Monori', '2651', '20548', '7021'),
('933', 'Gyöngyfa', 'község', 'Baranya', 'Szentlõrinci', '878', '128', '52'),
('934', 'Gyöngyös', 'város', 'Heves', 'Gyöngyösi', '5469', '27576', '14929'),
('935', 'Gyöngyösfalu', 'község', 'Vas', 'Kõszegi', '965', '1186', '420'),
('936', 'Gyöngyöshalász', 'község', 'Heves', 'Gyöngyösi', '2775', '2535', '1070'),
('937', 'Gyöngyösmellék', 'község', 'Baranya', 'Szigetvári', '1002', '256', '99'),
('938', 'Gyöngyösoroszi', 'község', 'Heves', 'Gyöngyösi', '2139', '1523', '570'),
('939', 'Gyöngyöspata', 'város', 'Heves', 'Gyöngyösi', '6075', '2366', '1055'),
('940', 'Gyöngyössolymos', 'község', 'Heves', 'Gyöngyösi', '6485', '2724', '1274'),
('941', 'Gyöngyöstarján', 'község', 'Heves', 'Gyöngyösi', '4639', '2368', '987'),
('942', 'Gyönk', 'város', 'Tolna', 'Tamási', '3811', '1805', '682'),
('943', 'Gyõr', 'megyeszékhely', 'Gyõr-Moson-Sopron', 'Gyõri', '17462', '132111', '63597'),
('944', 'Gyõrasszonyfa', 'község', 'Gyõr-Moson-Sopron', 'Pannonhalmi', '648', '497', '203'),
('945', 'Györe', 'község', 'Tolna', 'Bonyhádi', '1132', '637', '251'),
('946', 'Györgytarló', 'község', 'Borsod-Abaúj-Zemplén', 'Sárospataki', '3019', '460', '211'),
('947', 'Györköny', 'község', 'Tolna', 'Paksi', '3160', '966', '450'),
('948', 'Gyõrladamér', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '861', '1858', '620'),
('949', 'Gyõröcske', 'község', 'Szabolcs-Szatmár-Bereg', 'Záhonyi', '211', '142', '54'),
('950', 'Gyõrság', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '820', '1599', '632'),
('951', 'Gyõrsövényház', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '2421', '825', '319'),
('952', 'Gyõrszemere', 'község', 'Gyõr-Moson-Sopron', 'Téti', '3311', '3600', '1318'),
('953', 'Gyõrtelek', 'község', 'Szabolcs-Szatmár-Bereg', 'Mátészalkai', '1477', '1633', '476'),
('954', 'Gyõrújbarát', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '3360', '8516', '2844'),
('955', 'Gyõrújfalu', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '737', '2648', '968'),
('956', 'Gyõrvár', 'község', 'Vas', 'Vasvári', '1660', '594', '286'),
('957', 'Gyõrzámoly', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '2638', '3866', '1225'),
('958', 'Gyugy', 'község', 'Somogy', 'Fonyódi', '1531', '296', '139'),
('959', 'Gyula', 'város', 'Békés', 'Gyulai', '25579', '28409', '14472'),
('960', 'Gyulaháza', 'község', 'Szabolcs-Szatmár-Bereg', 'Kisvárdai', '2207', '1834', '666'),
('961', 'Gyulaj', 'község', 'Tolna', 'Dombóvári', '7082', '904', '343'),
('962', 'Gyulakeszi', 'község', 'Veszprém', 'Tapolcai', '967', '679', '259'),
('963', 'Gyúró', 'község', 'Fejér', 'Martonvásári', '2439', '1352', '501'),
('964', 'Gyügye', 'község', 'Szabolcs-Szatmár-Bereg', 'Fehérgyarmati', '433', '253', '135'),
('965', 'Gyüre', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '1587', '1231', '429'),
('966', 'Gyûrûs', 'község', 'Zala', 'Zalaegerszegi', '419', '85', '51'),
('967', 'Hács', 'község', 'Somogy', 'Fonyódi', '2128', '332', '188'),
('968', 'Hagyárosbörönd', 'község', 'Zala', 'Zalaegerszegi', '1125', '290', '135'),
('969', 'Hahót', 'község', 'Zala', 'Nagykanizsai', '3901', '939', '491'),
('970', 'Hajdúbagos', 'község', 'Hajdú-Bihar', 'Derecskei', '3744', '1961', '858'),
('971', 'Hajdúböszörmény', 'város', 'Hajdú-Bihar', 'Hajdúböszörményi', '37074', '29728', '12519'),
('972', 'Hajdúdorog', 'város', 'Hajdú-Bihar', 'Hajdúböszörményi', '10065', '8416', '3597'),
('973', 'Hajdúhadház', 'város', 'Hajdú-Bihar', 'Hajdúhadházi', '8782', '12924', '4211'),
('974', 'Hajdúnánás', 'város', 'Hajdú-Bihar', 'Hajdúnánási', '25961', '16256', '6966'),
('975', 'Hajdúsámson', 'város', 'Hajdú-Bihar', 'Debreceni', '6947', '13711', '4899'),
('976', 'Hajdúszoboszló', 'város', 'Hajdú-Bihar', 'Hajdúszoboszlói', '23862', '24094', '11637'),
('977', 'Hajdúszovát', 'község', 'Hajdú-Bihar', 'Hajdúszoboszlói', '5800', '2996', '1107'),
('978', 'Hajmás', 'község', 'Somogy', 'Kaposvári', '1111', '201', '75'),
('979', 'Hajmáskér', 'község', 'Veszprém', 'Veszprémi', '3814', '2865', '1284'),
('980', 'Hajós', 'város', 'Bács-Kiskun', 'Kalocsai', '8992', '2768', '1375'),
('981', 'Halastó', 'község', 'Vas', 'Körmendi', '565', '72', '63'),
('982', 'Halászi', 'község', 'Gyõr-Moson-Sopron', 'Mosonmagyaróvári', '3645', '3399', '1217'),
('983', 'Halásztelek', 'város', 'Pest', 'Szigetszentmiklósi', '864', '11992', '4314'),
('984', 'Halimba', 'község', 'Veszprém', 'Ajkai', '1262', '1139', '444'),
('985', 'Halmaj', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '1259', '1814', '598'),
('986', 'Halmajugra', 'község', 'Heves', 'Gyöngyösi', '2168', '1281', '444'),
('987', 'Halogy', 'község', 'Vas', 'Körmendi', '705', '264', '142'),
('988', 'Hangács', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '2253', '549', '244'),
('989', 'Hangony', 'község', 'Borsod-Abaúj-Zemplén', 'Ózdi', '3914', '1521', '586'),
('990', 'Hantos', 'község', 'Fejér', 'Sárbogárdi', '3696', '921', '372'),
('991', 'Harasztifalu', 'község', 'Vas', 'Körmendi', '789', '197', '84'),
('992', 'Harc', 'község', 'Tolna', 'Szekszárdi', '1586', '805', '335'),
('993', 'Harka', 'község', 'Gyõr-Moson-Sopron', 'Soproni', '1100', '3201', '957'),
('994', 'Harkakötöny', 'község', 'Bács-Kiskun', 'Kiskunhalasi', '5270', '753', '387'),
('995', 'Harkány', 'város', 'Baranya', 'Siklósi', '2569', '5061', '2067'),
('996', 'Háromfa', 'község', 'Somogy', 'Nagyatádi', '4214', '684', '324'),
('997', 'Háromhuta', 'község', 'Borsod-Abaúj-Zemplén', 'Sárospataki', '3780', '105', '77'),
('998', 'Harsány', 'község', 'Borsod-Abaúj-Zemplén', 'Miskolci', '3653', '1943', '830'),
('999', 'Hárskút', 'község', 'Veszprém', 'Veszprémi', '3446', '721', '256'),
('1000', 'Harta', 'nagyközség', 'Bács-Kiskun', 'Kalocsai', '12968', '3120', '1600'),
('1001', 'Hásságy', 'község', 'Baranya', 'Bólyi', '800', '278', '141'),
('1002', 'Hatvan', 'város', 'Heves', 'Hatvani', '6631', '19965', '9077'),
('1003', 'Hédervár', 'község', 'Gyõr-Moson-Sopron', 'Mosonmagyaróvári', '1428', '1323', '489'),
('1004', 'Hedrehely', 'község', 'Somogy', 'Kaposvári', '2551', '312', '178'),
('1005', 'Hegyesd', 'község', 'Veszprém', 'Tapolcai', '1105', '164', '93'),
('1006', 'Hegyeshalom', 'nagyközség', 'Gyõr-Moson-Sopron', 'Mosonmagyaróvári', '5266', '3853', '1553'),
('1007', 'Hegyfalu', 'község', 'Vas', 'Sárvári', '1189', '774', '310'),
('1008', 'Hegyháthodász', 'község', 'Vas', 'Körmendi', '808', '160', '100'),
('1009', 'Hegyhátmaróc', 'község', 'Baranya', 'Komlói', '759', '112', '87'),
('1010', 'Hegyhátsál', 'község', 'Vas', 'Körmendi', '458', '163', '89'),
('1011', 'Hegyhátszentjakab', 'község', 'Vas', 'Körmendi', '947', '258', '167'),
('1012', 'Hegyhátszentmárton', 'község', 'Vas', 'Körmendi', '1274', '66', '54'),
('1013', 'Hegyhátszentpéter', 'község', 'Vas', 'Vasvári', '684', '143', '89'),
('1014', 'Hegykõ', 'község', 'Gyõr-Moson-Sopron', 'Soproni', '2680', '1824', '641'),
('1015', 'Hegymagas', 'község', 'Veszprém', 'Tapolcai', '789', '270', '135'),
('1016', 'Hegymeg', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '570', '102', '55'),
('1017', 'Hegyszentmárton', 'község', 'Baranya', 'Sellyei', '1878', '387', '160'),
('1018', 'Héhalom', 'község', 'Nógrád', 'Pásztói', '1867', '991', '409'),
('1019', 'Hejce', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '952', '210', '184'),
('1020', 'Hejõbába', 'község', 'Borsod-Abaúj-Zemplén', 'Tiszaújvárosi', '1872', '1884', '547'),
('1021', 'Hejõkeresztúr', 'község', 'Borsod-Abaúj-Zemplén', 'Tiszaújvárosi', '1028', '1059', '412'),
('1022', 'Hejõkürt', 'község', 'Borsod-Abaúj-Zemplén', 'Tiszaújvárosi', '1491', '289', '147'),
('1023', 'Hejõpapi', 'község', 'Borsod-Abaúj-Zemplén', 'Mezõcsáti', '1702', '1010', '413'),
('1024', 'Hejõszalonta', 'község', 'Borsod-Abaúj-Zemplén', 'Tiszaújvárosi', '1096', '800', '249'),
('1025', 'Helesfa', 'község', 'Baranya', 'Szentlõrinci', '987', '506', '136'),
('1026', 'Helvécia', 'nagyközség', 'Bács-Kiskun', 'Kecskeméti', '5647', '4777', '1804'),
('1027', 'Hencida', 'község', 'Hajdú-Bihar', 'Berettyóújfalui', '3478', '1055', '435'),
('1028', 'Hencse', 'község', 'Somogy', 'Kaposvári', '711', '262', '140'),
('1029', 'Herceghalom', 'község', 'Pest', 'Budakeszi', '734', '2927', '966'),
('1030', 'Hercegkút', 'község', 'Borsod-Abaúj-Zemplén', 'Sárospataki', '782', '639', '253'),
('1031', 'Hercegszántó', 'község', 'Bács-Kiskun', 'Bajai', '6855', '1918', '1112'),
('1032', 'Heréd', 'község', 'Heves', 'Hatvani', '1396', '1828', '792'),
('1033', 'Héreg', 'község', 'Komárom-Esztergom', 'Tatabányai', '2714', '1097', '435'),
('1034', 'Herencsény', 'község', 'Nógrád', 'Balassagyarmati', '3318', '506', '293'),
('1035', 'Herend', 'város', 'Veszprém', 'Veszprémi', '1956', '3351', '1352'),
('1036', 'Heresznye', 'község', 'Somogy', 'Barcsi', '990', '235', '160'),
('1037', 'Hermánszeg', 'község', 'Szabolcs-Szatmár-Bereg', 'Fehérgyarmati', '520', '239', '135'),
('1038', 'Hernád', 'nagyközség', 'Pest', 'Dabasi', '2706', '4218', '1526'),
('1039', 'Hernádbûd', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '591', '122', '82'),
('1040', 'Hernádcéce', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '991', '227', '121'),
('1041', 'Hernádkak', 'község', 'Borsod-Abaúj-Zemplén', 'Miskolci', '1090', '1592', '560'),
('1042', 'Hernádkércs', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '741', '312', '145'),
('1043', 'Hernádnémeti', 'nagyközség', 'Borsod-Abaúj-Zemplén', 'Miskolci', '2876', '3534', '1219'),
('1044', 'Hernádpetri', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '1708', '203', '106'),
('1045', 'Hernádszentandrás', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '704', '447', '150'),
('1046', 'Hernádszurdok', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '448', '187', '101'),
('1047', 'Hernádvécse', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '1694', '1089', '287'),
('1048', 'Hernyék', 'község', 'Zala', 'Lenti', '1031', '71', '65'),
('1049', 'Hét', 'község', 'Borsod-Abaúj-Zemplén', 'Putnoki', '371', '415', '205'),
('1050', 'Hetefejércse', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '1545', '270', '106'),
('1051', 'Hetes', 'község', 'Somogy', 'Kaposvári', '2663', '1161', '408'),
('1052', 'Hetvehely', 'község', 'Baranya', 'Szentlõrinci', '2138', '455', '162'),
('1053', 'Hetyefõ', 'község', 'Veszprém', 'Sümegi', '411', '93', '49'),
('1054', 'Heves', 'város', 'Heves', 'Hevesi', '9931', '9882', '4145'),
('1055', 'Hevesaranyos', 'község', 'Heves', 'Egri', '1702', '571', '269'),
('1056', 'Hevesvezekény', 'község', 'Heves', 'Hevesi', '1978', '612', '305'),
('1057', 'Hévíz', 'város', 'Zala', 'Keszthelyi', '830', '4505', '3994'),
('1058', 'Hévízgyörk', 'község', 'Pest', 'Aszódi', '2285', '3260', '1186'),
('1059', 'Hidas', 'község', 'Baranya', 'Pécsváradi', '1906', '2006', '812'),
('1060', 'Hidasnémeti', 'község', 'Borsod-Abaúj-Zemplén', 'Gönci', '1607', '1061', '452'),
('1061', 'Hidegkút', 'község', 'Veszprém', 'Veszprémi', '1358', '449', '193'),
('1062', 'Hidegség', 'község', 'Gyõr-Moson-Sopron', 'Soproni', '1682', '475', '177'),
('1063', 'Hidvégardó', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '1699', '521', '281'),
('1064', 'Himesháza', 'község', 'Baranya', 'Mohácsi', '1754', '1049', '450'),
('1065', 'Himod', 'község', 'Gyõr-Moson-Sopron', 'Kapuvári', '2270', '608', '384'),
('1066', 'Hirics', 'község', 'Baranya', 'Sellyei', '1468', '224', '79'),
('1067', 'Hobol', 'község', 'Baranya', 'Szigetvári', '1827', '949', '346'),
('1068', 'Hodász', 'nagyközség', 'Szabolcs-Szatmár-Bereg', 'Mátészalkai', '2649', '3297', '1114'),
('1069', 'Hódmezõvásárhely', 'megyei jogú város', 'Csongrád-Csanád', 'Hódmezõvásárhelyi', '48798', '42207', '20320'),
('1070', 'Hollád', 'község', 'Somogy', 'Marcali', '820', '208', '159'),
('1071', 'Hollóháza', 'község', 'Borsod-Abaúj-Zemplén', 'Sátoraljaújhelyi', '236', '744', '432'),
('1072', 'Hollókõ', 'község', 'Nógrád', 'Szécsényi', '518', '350', '227'),
('1073', 'Homokbödöge', 'község', 'Veszprém', 'Pápai', '1615', '630', '295'),
('1074', 'Homokkomárom', 'község', 'Zala', 'Nagykanizsai', '1670', '198', '88'),
('1075', 'Homokmégy', 'község', 'Bács-Kiskun', 'Kalocsai', '7032', '1203', '712'),
('1076', 'Homokszentgyörgy', 'község', 'Somogy', 'Barcsi', '4964', '936', '481'),
('1077', 'Homorúd', 'község', 'Baranya', 'Mohácsi', '4473', '520', '395'),
('1078', 'Homrogd', 'község', 'Borsod-Abaúj-Zemplén', 'Szikszói', '1343', '816', '318'),
('1079', 'Hont', 'község', 'Nógrád', 'Balassagyarmati', '2410', '494', '304'),
('1080', 'Horpács', 'község', 'Nógrád', 'Rétsági', '672', '161', '92'),
('1081', 'Hort', 'nagyközség', 'Heves', 'Hatvani', '4309', '3611', '1593'),
('1082', 'Hortobágy', 'község', 'Hajdú-Bihar', 'Balmazújvárosi', '28458', '1285', '625'),
('1083', 'Horváthertelend', 'község', 'Baranya', 'Szigetvári', '536', '44', '27'),
('1084', 'Horvátlövõ', 'község', 'Vas', 'Szombathelyi', '616', '220', '76'),
('1085', 'Horvátzsidány', 'község', 'Vas', 'Kõszegi', '1217', '813', '336'),
('1086', 'Hosszúhetény', 'község', 'Baranya', 'Pécsi', '4527', '3476', '1208'),
('1087', 'Hosszúpályi', 'nagyközség', 'Hajdú-Bihar', 'Derecskei', '7918', '5450', '2067'),
('1088', 'Hosszúpereszteg', 'község', 'Vas', 'Sárvári', '3700', '641', '394'),
('1089', 'Hosszúvíz', 'község', 'Somogy', 'Marcali', '710', '48', '32'),
('1090', 'Hosszúvölgy', 'község', 'Zala', 'Nagykanizsai', '360', '165', '77'),
('1091', 'Hosztót', 'község', 'Veszprém', 'Sümegi', '727', '53', '50'),
('1092', 'Hottó', 'község', 'Zala', 'Zalaegerszegi', '670', '349', '139'),
('1093', 'Hõgyész', 'nagyközség', 'Tolna', 'Tamási', '3715', '2694', '1112'),
('1094', 'Hövej', 'község', 'Gyõr-Moson-Sopron', 'Kapuvári', '852', '371', '177'),
('1095', 'Hugyag', 'község', 'Nógrád', 'Balassagyarmati', '1090', '886', '328'),
('1096', 'Hunya', 'község', 'Békés', 'Gyomaendrõdi', '3257', '573', '395'),
('1097', 'Hunyadfalva', 'község', 'Jász-Nagykun-Szolnok', 'Szolnoki', '535', '139', '101'),
('1098', 'Husztót', 'község', 'Baranya', 'Pécsi', '675', '51', '42'),
('1099', 'Ibafa', 'község', 'Baranya', 'Szigetvári', '2930', '187', '93'),
('1100', 'Iborfia', 'község', 'Zala', 'Zalaegerszegi', '259', '13', '17'),
('1101', 'Ibrány', 'város', 'Szabolcs-Szatmár-Bereg', 'Ibrányi', '6042', '6403', '2414'),
('1102', 'Igal', 'város', 'Somogy', 'Kaposvári', '3606', '1336', '632'),
('1103', 'Igar', 'község', 'Fejér', 'Sárbogárdi', '4119', '780', '502'),
('1104', 'Igrici', 'község', 'Borsod-Abaúj-Zemplén', 'Mezõcsáti', '1947', '1113', '444'),
('1105', 'Iharos', 'község', 'Somogy', 'Csurgói', '2268', '415', '197'),
('1106', 'Iharosberény', 'község', 'Somogy', 'Csurgói', '4966', '1180', '482'),
('1107', 'Ikervár', 'község', 'Vas', 'Sárvári', '3534', '1734', '672'),
('1108', 'Iklad', 'község', 'Pest', 'Aszódi', '1121', '2029', '694'),
('1109', 'Iklanberény', 'község', 'Vas', 'Kõszegi', '296', '40', '38'),
('1110', 'Iklódbördõce', 'község', 'Zala', 'Lenti', '1230', '236', '138'),
('1111', 'Ikrény', 'község', 'Gyõr-Moson-Sopron', 'Gyõri', '1558', '1951', '663'),
('1112', 'Iliny', 'község', 'Nógrád', 'Balassagyarmati', '646', '151', '90'),
('1113', 'Ilk', 'község', 'Szabolcs-Szatmár-Bereg', 'Vásárosnaményi', '1456', '1231', '413'),
('1114', 'Illocska', 'község', 'Baranya', 'Siklósi', '1510', '232', '96'),
('1115', 'Imola', 'község', 'Borsod-Abaúj-Zemplén', 'Putnoki', '1812', '89', '69'),
('1116', 'Imrehegy', 'község', 'Bács-Kiskun', 'Kiskõrösi', '7031', '637', '322'),
('1117', 'Ináncs', 'község', 'Borsod-Abaúj-Zemplén', 'Encsi', '1094', '1146', '417'),
('1118', 'Inárcs', 'nagyközség', 'Pest', 'Dabasi', '2253', '4631', '1682'),
('1119', 'Inke', 'község', 'Somogy', 'Csurgói', '5176', '1107', '430'),
('1120', 'Ipacsfa', 'község', 'Baranya', 'Siklósi', '601', '201', '82'),
('1121', 'Ipolydamásd', 'község', 'Pest', 'Szobi', '1158', '374', '199'),
('1122', 'Ipolyszög', 'község', 'Nógrád', 'Balassagyarmati', '607', '534', '221'),
('1123', 'Ipolytarnóc', 'község', 'Nógrád', 'Salgótarjáni', '1366', '398', '205'),
('1124', 'Ipolytölgyes', 'község', 'Pest', 'Szobi', '1367', '394', '124'),
('1125', 'Ipolyvece', 'község', 'Nógrád', 'Balassagyarmati', '1383', '786', '353'),
('1126', 'Iregszemcse', 'község', 'Tolna', 'Tamási', '5833', '2481', '1055'),
('1127', 'Irota', 'község', 'Borsod-Abaúj-Zemplén', 'Edelényi', '1234', '82', '58'),
('1128', 'Isaszeg', 'város', 'Pest', 'Gödöllõi', '5484', '11685', '3947'),
('1129', 'Ispánk', 'község', 'Vas', 'Körmendi', '692', '109', '65'),
('1130', 'Istenmezeje', 'község', 'Heves', 'Pétervásárai', '3279', '1354', '699'),
('1131', 'Istvándi', 'község', 'Somogy', 'Barcsi', '3030', '471', '184'),
('1132', 'Iszkaszentgyörgy', 'község', 'Fejér', 'Székesfehérvári', '2627', '2206', '770'),
('1133', 'Iszkáz', 'község', 'Veszprém', 'Devecseri', '1574', '336', '188'),
('1134', 'Isztimér', 'község', 'Fejér', 'Móri', '5388', '942', '378'),
('1135', 'Ivád', 'község', 'Heves', 'Pétervásárai', '1194', '338', '198'),
('1136', 'Iván', 'község', 'Gyõr-Moson-Sopron', 'Soproni', '5474', '1202', '469'),
('1137', 'Ivánbattyán', 'község', 'Baranya', 'Siklósi', '613', '114', '62'),
('1138', 'Ivánc', 'község', 'Vas', 'Körmendi', '1714', '690', '224'),
('1139', 'Iváncsa', 'község', 'Fejér', 'Dunaújvárosi', '2517', '2843', '1045'),
